ID,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
697,Ernest Saves Christmas,1980s,95,6000000,4.6,1125,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
698,Escape from L.A.,1990s,101,50000000,4.8,7955,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
699,Escape from New York,1980s,99,6000000,6.8,9924,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0,0
700,Escape from the Planet of the Apes,1970s,98,2500000,5.8,2951,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
701,"Espinazo del diablo, El",2000s,108,4500000,7.4,3474,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0
702,Eternal Sunshine of the Spotless Mind,2000s,108,20000000,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,1,1,0,1,0
703,Eulogy,2000s,91,10000000,6.5,773,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,R,0,0,1,1,0,0,0
704,EuroTrip,2000s,90,25000000,6.1,8390,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0
705,Eve's Bayou,1990s,109,5000000,7.2,2302,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
706,Evelyn,2000s,94,10000000,7.1,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,0,1,0,0,0
707,Even Cowgirls Get the Blues,1990s,99,8000000,4,1609,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,1,0,1,0
708,Event Horizon,1990s,96,70000000,5.7,15510,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
709,Ever After,1990s,121,26000000,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG,0,0,1,1,0,1,0
710,Everyone Says I Love You,1990s,101,20000000,6.9,7314,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,1,0
711,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1970s,87,2000000,6.7,4671,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
712,Evil Dead II,1980s,85,3500000,7.6,15743,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,1,0,1,0,0,0,0
713,"Evil Dead, The",1980s,86,350000,7.4,14407,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,NC-17,0,0,0,0,0,0,0
714,Evita,1990s,134,55000000,6.2,8371,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG,0,0,0,1,0,0,0
715,Evolution,2000s,101,80000000,5.8,14232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
716,Executive Decision,1990s,134,55000000,6.3,7653,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
717,Exit Wounds,2000s,101,33000000,5.3,5370,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
718,Exodus,1960s,208,4000000,6.8,1161,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,0,1,0,0,0
719,Exorcist II: The Heretic,1970s,118,14000000,3.5,3009,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
720,"Exorcist, The",1970s,132,1000000,7.9,34162,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
721,Exorcist: The Beginning,2000s,114,30000000,5,4130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
722,Extreme Measures,1990s,118,38000000,5.9,3417,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
723,Extreme Ops,2000s,94,40000000,4,1337,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
724,Eye for an Eye,1990s,101,20000000,5.6,1843,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
725,Eye of the Beholder,1990s,109,15000000,4.5,5549,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
726,Eyes Wide Shut,1990s,159,65000000,7,37868,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,0,0
727,Eyes of Laura Mars,1970s,104,7000000,5.8,1174,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
728,F.I.S.T.,1970s,145,11000000,5.7,781,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
729,Face/Off,1990s,133,80000000,7.1,37506,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,0,1,0,0,0
730,Faces,1960s,130,275000,7.4,770,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
731,"Faculty, The",1990s,104,15000000,6.1,13143,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
732,Fahrenheit 9/11,2000s,122,6000000,7.9,34666,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,R,0,0,0,0,1,0,0
733,Fair Game,1990s,91,50000000,3.9,2579,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,1,1,0,0,0
734,"Fall of the Roman Empire, The",1960s,184,19000000,6.4,996,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
735,"Family Man, The",2000s,125,60000000,6.5,11220,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,1,0
736,Family Plot,1970s,121,3000000,6.6,2212,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
737,"Fan, The",1990s,114,55000000,5.4,6920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
738,Fantasia,1940s,80,2280000,7.8,14925,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,1,0,0,0,0,0
739,Fantasia/2000,1990s,75,80000000,7.4,5353,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,1,0,0,0,0,0
740,"Fantasma dell'opera, Il",1990s,106,10000000,3.8,910,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,0,0,0,1,0,1,0
741,Far and Away,1990s,140,30000000,6.2,8556,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
742,Far from Heaven,2000s,107,13500000,7.7,9167,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,1,0
743,Fargo,1990s,98,7000000,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0
744,Fast Times at Ridgemont High,1980s,90,4500000,7.1,10361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
745,"Fast and the Furious, The",2000s,106,38000000,5.7,21428,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,1,0,0,0,0,0,0
746,Fatal Attraction,1980s,123,14000000,6.7,8541,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
747,Father of the Bride Part II,1990s,106,30000000,5.6,4089,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0
748,Fathers' Day,1990s,98,85000000,4.7,2714,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
749,Fear X,2000s,91,6600000,5.9,742,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,0,0,0,0
750,Fear and Loathing in Las Vegas,1990s,118,18500000,7.2,21484,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,1,1,0,0,0
751,FearDotCom,2000s,101,42000000,3.2,5126,34.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
752,"Fearless Vampire Killers, The",1960s,108,2000000,7,3452,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
753,Female Trouble,1970s,97,25000,7.1,868,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,NC-17,0,0,1,0,0,0,0
754,Femme Fatale,2000s,114,35000000,6.4,6083,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
755,Feng yun xiong ba tian xia,1990s,85,10000000,6.3,922,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,1,0,0,0,0,0,0
756,Festen,1990s,105,1300000,8.2,11983,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,0,0
757,Fever Pitch,2000s,98,39690000,6.6,1712,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,0,0,1,0,0,1,0
758,"Few Good Men, A",1990s,138,33000000,7.5,25237,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
759,Fiddler on the Roof,1970s,181,9000000,7.6,5893,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
760,"Fifth Element, The",1990s,126,90000000,7.1,55398,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,1,0,0,1,0,0,0
761,Fight Club,1990s,139,63000000,8.5,112092,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,0,1,0,0,0
762,Final Destination,2000s,98,23000000,6.6,16504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,R,0,0,0,0,0,0,0
763,Final Destination 2,2000s,90,26000000,6.3,8481,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0,0
764,Final Fantasy: The Spirits Within,2000s,106,137000000,6.5,16451,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,1,0,0,0,0,0
765,Finding Forrester,2000s,136,43000000,7.3,13439,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
766,Finding Nemo,2000s,100,94000000,8.3,41846,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,1,1,1,0,0,0
767,Firefox,1980s,136,21000000,5.5,3401,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
768,Firestarter,1980s,101,15000000,5.6,2839,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
769,Firestorm,1990s,89,19000000,4.4,987,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
770,"Firm, The",1990s,154,42000000,6.6,14708,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
771,First Blood,1980s,97,14000000,6.8,11956,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,0,1,0,0,0
772,"First Great Train Robbery, The",1970s,110,6000000,6.9,1758,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,1,0,1,1,0,0,0
773,First Knight,1990s,134,75000000,5.6,8708,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,1,0
774,"First Wives Club, The",1990s,103,26000000,5.6,6434,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
775,"Fish Called Wanda, A",1980s,108,7500000,7.7,25035,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
776,"Fisher King, The",1990s,137,24000000,7.4,11952,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,1,0,1,0
777,Flash Gordon,1980s,111,35000000,5.7,5626,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,1,0,0,0,0,0,0
778,Flawless,1990s,112,27000000,6.1,3287,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
779,Flesh & Blood,1980s,117,6500000,6.3,2047,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,0,1,0,0,0
780,Flight of the Phoenix,2000s,113,45000000,6,2732,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
781,"Flintstones in Viva Rock Vegas, The",2000s,90,58000000,3.7,1712,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0
782,"Flintstones, The",1990s,91,45000000,4.5,8704,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
783,Flirting with Disaster,1990s,92,7000000,7,3986,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,0
784,"Fly, The",1950s,94,500000,6.8,2052,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
785,"Fly, The",1980s,92,15000000,7,9914,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
786,"Fog, The",1980s,89,1000000,6.5,4618,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
787,Following,1990s,69,6000,7.6,3197,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,0,0,0,0
788,For Love of the Game,1990s,137,50000000,6.1,5782,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,1,0
789,For Whom the Bell Tolls,1940s,168,3000000,7.2,1010,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
790,For Your Eyes Only,1980s,127,28000000,6.7,8061,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
791,Forbidden Planet,1950s,98,1900000,7.7,6736,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
792,"Foreigner, The",2000s,96,20000000,3.1,904,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
793,"Forgotten, The",2000s,94,42000000,5.8,8234,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
794,Forrest Gump,1990s,142,55000000,8.2,89722,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,PG-13,0,0,1,1,0,0,0
795,"Forsaken, The",2000s,90,5000000,5.1,1928,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
796,Fort Apache,1940s,125,2500000,7.6,1865,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
797,Fortress,1990s,95,12000000,5.3,2577,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
798,Fortress 2,1990s,92,11000000,4.2,1027,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
799,"Fortune Cookie, The",1960s,125,3705000,7.4,1504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,,0,0,1,1,0,1,0
800,"Four Feathers, The",2000s,125,80000000,6.2,4400,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
801,Four Rooms,1990s,98,4000000,6,10675,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,1,0,0,0
802,Four Weddings and a Funeral,1990s,117,6000000,7.2,17820,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,1,0
803,Frailty,2000s,100,11000000,7.4,10551,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
804,Frankenstein,1930s,71,291000,7.9,6045,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
805,Frankenstein,1990s,123,45000000,6,6941,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
806,Freaked,1990s,86,11000000,5.4,920,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
807,Freaks,1930s,64,310607,7.7,4134,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
808,Freaky Friday,2000s,97,26000000,6.9,8052,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,PG,0,0,1,1,0,0,0
809,Freddy Got Fingered,2000s,87,15000000,3.5,9115,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,R,0,0,1,0,0,0,0
810,Freddy Vs. Jason,2000s,97,25000000,6.1,11109,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,1,0,0,0,0,0,0
811,Freddy's Dead: The Final Nightmare,1990s,93,5000000,4.3,3618,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
812,Free Money,1990s,91,30000000,4.7,619,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
813,Freeway,1990s,102,3000000,6.5,4961,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
814,Freeway II: Confessions of a Trickbaby,1990s,90,2000000,4.6,666,14.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
815,"French Connection, The",1970s,104,1800000,7.8,11783,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,1,0,0,1,0,0,0
816,Frenzy,1970s,116,3500000,7.3,3698,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,0,0,0,0
817,Frequency,2000s,118,31000000,7.4,15317,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
818,Frida,2000s,123,12000000,7.5,8614,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
819,Friday,1990s,91,3500000,6.7,7020,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,R,0,0,1,1,0,0,0
820,Friday After Next,2000s,85,20000000,4.9,1659,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,1,0,0,0,0
821,Friday Night Lights,2000s,117,30000000,7,4290,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
822,Friday the 13th,1980s,95,700000,5.8,7475,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
823,Friday the 13th Part 2,1980s,87,1000000,4.9,3794,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
824,Friday the 13th Part 3: 3D,1980s,91,4000000,4.3,3239,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
825,Friday the 13th Part VII: The New Blood,1980s,90,3500000,4.1,2625,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
826,Friday the 13th Part VIII: Jason Takes Manhattan,1980s,100,5000000,3.6,3248,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
827,Friday the 13th: The Final Chapter,1980s,90,1800000,4.6,2975,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
828,Friendly Persuasion,1950s,137,3000000,7.5,1020,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
829,Fright Night,1980s,106,9000000,6.5,3601,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
830,Fritz the Cat,1970s,80,1000000,5.8,1109,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,1,1,1,1,0,0,0
831,From Beyond,1980s,85,4500000,6,887,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
832,From Dusk Till Dawn,1990s,108,20000000,6.8,28473,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,1,0,0,0,0
833,From Hell,2000s,122,35000000,6.8,17292,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,R,0,0,0,0,0,0,0
834,From Here to Eternity,1950s,118,1650000,7.9,5995,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,1,0,1,0
835,From Justin to Kelly,2000s,90,12000000,1.7,6517,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG,0,0,1,0,0,1,0
836,From Russia with Love,1960s,115,2000000,7.3,10291,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,1,0,0,0
837,"Front Page, The",1970s,105,4000000,7,1296,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
838,"Fugitive, The",1990s,130,44000000,7.7,48292,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,1,0,0,1,0,0,0
839,Full Frontal,2000s,101,2000000,5,3056,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,1,0
840,Full Metal Jacket,1980s,116,30000000,8.2,47757,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
841,"Full Monty, The",1990s,91,3500000,7.2,22115,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
842,Funny Face,1950s,103,3000000,7.1,1673,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
843,Funny Girl,1960s,155,14100000,7,1782,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,1,1,0,1,0
844,"Fury, The",1970s,118,5500000,6,1524,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
845,G.I. Jane,1990s,124,50000000,5.5,9116,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,0,1,0,0,0
846,G.O.R.A.,2000s,127,5000000,7.2,1561,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,45.5,,0,0,1,0,0,0,0
847,Galaxy Quest,1990s,102,45000000,7.2,22341,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,0,0,0,0
848,"Game, The",1990s,128,50000000,7.6,28099,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,0,0,0,0
849,Gandhi,1980s,188,22000000,8,15879,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
850,Gangs of New York,2000s,166,97000000,7.3,34808,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
851,Garden State,2000s,109,2500000,8.1,23814,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,1,1,0,1,0
852,Garfield,2000s,80,50000000,4.8,4775,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG,0,1,1,0,0,0,0
853,"Gathering, The",2000s,83,18000000,5.8,1033,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
854,Gattaca,1990s,101,36000000,7.6,26071,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
855,"Gauntlet, The",1970s,109,5500000,6,2201,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,0,1,0,0,0
856,"Gay Divorcee, The",1930s,107,520000,7.6,713,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,1,0
857,"General's Daughter, The",1990s,116,60000000,6.1,11128,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
858,Gentleman's Agreement,1940s,118,2000000,7.4,1173,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
859,George of the Jungle,1990s,92,55000000,5.5,6430,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,PG,0,0,1,0,0,0,0
860,Geronimo: An American Legend,1990s,115,50000000,6.2,1233,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
861,Gerry,2000s,105,3500000,6,1944,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,0,0
862,Get Carter,2000s,104,40000000,4.7,4927,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,1,0,0,0
